pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,Meal,Transit,21,3,2.58,28.00204426,18.81537759,soundcast
Child Age 0-4,Meal,Walk,0,2,1.226122708,24.52245415,18.98245415,soundcast
Child Age 0-4,Meal,Walk,3,7,2.865379593,57.30759187,47.93759187,soundcast
Child Age 0-4,Meal,Walk,4,10,1.989926126,39.79852253,30.50152253,soundcast
Child Age 0-4,Meal,Walk,5,33,2.100846113,42.01692227,33.47146772,soundcast
Child Age 0-4,Meal,Walk,6,61,1.504577665,30.09155329,22.99237296,soundcast
Child Age 0-4,Meal,Walk,7,104,1.486460485,29.72920971,22.61497894,soundcast
Child Age 0-4,Meal,Walk,8,159,1.140351453,22.80702907,16.30879007,soundcast
Child Age 0-4,Meal,Walk,9,182,1.245024571,24.90049142,18.19768923,soundcast
Child Age 0-4,Meal,Walk,10,247,1.180857282,23.61714564,17.0735424,soundcast
Child Age 0-4,Meal,Walk,11,225,1.25155278,25.0310556,18.38434449,soundcast
Child Age 0-4,Meal,Walk,12,248,1.139734901,22.79469801,16.36256092,soundcast
Child Age 0-4,Meal,Walk,13,258,1.085766175,21.7153235,15.47261032,soundcast
Child Age 0-4,Meal,Walk,14,190,1.09411066,21.8822132,15.45542373,soundcast
Child Age 0-4,Meal,Walk,15,241,1.219075043,24.38150086,17.70477886,soundcast
Child Age 0-4,Meal,Walk,16,211,1.179089194,23.58178387,16.90149951,soundcast
Child Age 0-4,Meal,Walk,17,175,1.218818487,24.37636975,17.71116975,soundcast
Child Age 0-4,Meal,Walk,18,167,1.061592544,21.23185089,14.93520418,soundcast
Child Age 0-4,Meal,Walk,19,112,1.268258222,25.36516445,18.49570016,soundcast
Child Age 0-4,Meal,Walk,20,71,1.131498447,22.62996894,16.20574358,soundcast
Child Age 0-4,Meal,Walk,21,36,1.04241121,20.8482242,13.66461309,soundcast
Child Age 0-4,Meal,Walk,22,17,0.880287335,17.6057467,10.99692317,soundcast
Child Age 0-4,Meal,Walk,23,5,0.909208174,18.18416349,12.37016349,soundcast
Child Age 0-4,None/Home,Bike,0,12,1.639567133,10.87349259,4.46682592,soundcast
Child Age 0-4,None/Home,Bike,1,5,7.057510227,47.05006818,33.10606818,soundcast
Child Age 0-4,None/Home,Bike,3,1,1.518775879,10.12517253,4.085172525,soundcast
Child Age 0-4,None/Home,Bike,4,8,3.200007519,21.1919851,11.6432351,soundcast
Child Age 0-4,None/Home,Bike,5,5,1.13073712,7.388904035,1.396904035,soundcast
Child Age 0-4,None/Home,Bike,6,18,3.936799064,26.23352153,16.78407709,soundcast
Child Age 0-4,None/Home,Bike,7,89,5.558807463,37.05013056,25.34046764,soundcast
Child Age 0-4,None/Home,Bike,8,209,4.849762934,32.30422945,21.6034639,soundcast
Child Age 0-4,None/Home,Bike,9,294,4.563970478,30.33471257,19.9593044,soundcast
Child Age 0-4,None/Home,Bike,10,298,4.024783878,26.71470301,16.81913254,soundcast
Child Age 0-4,None/Home,Bike,11,285,3.837017384,25.49132624,15.78308063,soundcast
Child Age 0-4,None/Home,Bike,12,308,3.655153995,24.26331264,15.02844251,soundcast
Child Age 0-4,None/Home,Bike,13,322,4.08305808,27.11014268,17.09818615,soundcast
Child Age 0-4,None/Home,Bike,14,300,3.867215878,25.68706882,16.04946882,soundcast
Child Age 0-4,None/Home,Bike,15,361,3.749504399,24.92976316,15.52289335,soundcast
Child Age 0-4,None/Home,Bike,16,354,3.447889452,22.89700334,13.72649487,soundcast
Child Age 0-4,None/Home,Bike,17,280,3.924308453,26.06995227,16.48398799,soundcast
Child Age 0-4,None/Home,Bike,18,251,3.961751874,26.28905602,16.58483291,soundcast
Child Age 0-4,None/Home,Bike,19,266,3.493775854,23.21946491,13.94905137,soundcast
Child Age 0-4,None/Home,Bike,20,230,3.410829343,22.59688326,13.7687963,soundcast
Child Age 0-4,None/Home,Bike,21,115,3.098353228,20.57296091,11.972787,soundcast
Child Age 0-4,None/Home,Bike,22,86,3.610359969,23.99386385,14.65293362,soundcast
